"file","folder","category","intended_page_or_gallery","selection_status","orientation","width","height","megapixels","visual_quality_signal","brightness","contrast","sharpness","exact_duplicate","similarity_note","relative_path"
"DSC02439.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","93.0","51.0","26.0","None","None","_photo-masters/Restaurants & Foods/DSC02439.jpg"
"DSC02440.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","2665","3998","10.65","good","108.1","59.9","46.3","None","None","_photo-masters/Restaurants & Foods/DSC02440.jpg"
"DSC02441.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","3791","5686","21.56","good","185.9","41.4","54.8","None","None","_photo-masters/Restaurants & Foods/DSC02441.jpg"
"DSC02442.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","3238","4857","15.73","strong","176.9","45.9","83.5","None","None","_photo-masters/Restaurants & Foods/DSC02442.jpg"
"DSC02443.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4385","6578","28.84","strong","175.2","43.2","91.1","None","None","_photo-masters/Restaurants & Foods/DSC02443.jpg"
"DSC02444.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","100.3","58.6","163.6","None","None","_photo-masters/Restaurants & Foods/DSC02444.jpg"
"DSC02445.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4492","6738","30.27","strong","132.5","64.0","154.9","None","None","_photo-masters/Restaurants & Foods/DSC02445.jpg"
"DSC02446.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","82.5","49.4","63.6","None","None","_photo-masters/Restaurants & Foods/DSC02446.jpg"
"DSC02447.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","3989","5983","23.87","good","65.7","43.9","51.2","None","None","_photo-masters/Restaurants & Foods/DSC02447.jpg"
"DSC02448.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","landscape","7008","4672","32.74","good","54.7","37.3","22.6","None","None","_photo-masters/Restaurants & Foods/DSC02448.jpg"
"DSC02449.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","61.9","46.8","14.6","None","None","_photo-masters/Restaurants & Foods/DSC02449.jpg"
"DSC02450.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4347","6520","28.34","strong","78.0","62.6","150.8","None","None","_photo-masters/Restaurants & Foods/DSC02450.jpg"
"DSC02451.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","78.9","61.2","123.4","None","None","_photo-masters/Restaurants & Foods/DSC02451.jpg"
"DSC02452.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4672","7008","32.74","strong","68.9","62.8","136.3","None","None","_photo-masters/Restaurants & Foods/DSC02452.jpg"
"DSC02453.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","71.9","61.2","136.7","None","None","_photo-masters/Restaurants & Foods/DSC02453.jpg"
"DSC02454.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","55.0","47.3","89.7","None","None","_photo-masters/Restaurants & Foods/DSC02454.jpg"
"DSC02455.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","68.1","58.0","94.5","None","None","_photo-masters/Restaurants & Foods/DSC02455.jpg"
"DSC02456.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","66.6","57.5","77.2","None","None","_photo-masters/Restaurants & Foods/DSC02456.jpg"
"DSC02457.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4672","7008","32.74","strong","63.6","55.7","80.4","None","None","_photo-masters/Restaurants & Foods/DSC02457.jpg"
"DSC02458.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","59.3","49.5","79.8","None","None","_photo-masters/Restaurants & Foods/DSC02458.jpg"
"DSC02459.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","63.7","55.3","81.0","None","None","_photo-masters/Restaurants & Foods/DSC02459.jpg"
"DSC02460.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","61.4","53.6","86.4","None","None","_photo-masters/Restaurants & Foods/DSC02460.jpg"
"DSC02461.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","59.2","51.5","90.6","None","None","_photo-masters/Restaurants & Foods/DSC02461.jpg"
"DSC02462.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","62.5","47.4","89.9","None","None","_photo-masters/Restaurants & Foods/DSC02462.jpg"
"DSC02463.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","69.0","59.1","100.4","None","None","_photo-masters/Restaurants & Foods/DSC02463.jpg"
"DSC02464.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","79.8","65.0","53.3","None","None","_photo-masters/Restaurants & Foods/DSC02464.jpg"
"DSC02465.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","78.7","62.7","53.9","None","None","_photo-masters/Restaurants & Foods/DSC02465.jpg"
"DSC02466.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","80.3","62.3","55.7","None","None","_photo-masters/Restaurants & Foods/DSC02466.jpg"
"DSC02467.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","81.7","63.3","43.4","None","None","_photo-masters/Restaurants & Foods/DSC02467.jpg"
"DSC02469.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","78.9","61.3","53.3","None","None","_photo-masters/Restaurants & Foods/DSC02469.jpg"
"DSC02470.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4173","6259","26.12","strong","62.9","55.8","94.2","None","None","_photo-masters/Restaurants & Foods/DSC02470.jpg"
"DSC02471.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","64.6","56.8","90.1","None","None","_photo-masters/Restaurants & Foods/DSC02471.jpg"
"DSC02472.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","60.2","54.8","83.1","None","None","_photo-masters/Restaurants & Foods/DSC02472.jpg"
"DSC02473.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","58.2","51.8","75.2","None","None","_photo-masters/Restaurants & Foods/DSC02473.jpg"
"DSC02474.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","56.8","53.2","121.4","None","None","_photo-masters/Restaurants & Foods/DSC02474.jpg"
"DSC02475.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4432","6648","29.46","good","68.4","57.4","63.9","None","None","_photo-masters/Restaurants & Foods/DSC02475.jpg"
"DSC02476.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","6292","4195","26.39","good","71.7","62.5","45.9","None","None","_photo-masters/Restaurants & Foods/DSC02476.jpg"
"DSC02477.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","6157","4105","25.27","good","65.7","58.2","69.5","None","None","_photo-masters/Restaurants & Foods/DSC02477.jpg"
"DSC02478.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","landscape","5761","3841","22.13","good","77.3","63.3","53.7","None","None","_photo-masters/Restaurants & Foods/DSC02478.jpg"
"DSC02479.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","77.2","57.5","31.8","None","None","_photo-masters/Restaurants & Foods/DSC02479.jpg"
"DSC02480.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","landscape","7008","4672","32.74","good","79.8","54.3","41.6","None","None","_photo-masters/Restaurants & Foods/DSC02480.jpg"
"DSC02481.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","85.2","51.9","45.8","None","None","_photo-masters/Restaurants & Foods/DSC02481.jpg"
"DSC02482.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","2976","4464","13.28","good","95.9","55.0","40.8","None","None","_photo-masters/Restaurants & Foods/DSC02482.jpg"
"DSC02484.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4051","6076","24.61","good","107.4","53.7","33.3","None","None","_photo-masters/Restaurants & Foods/DSC02484.jpg"
"DSC02485.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","6382","4255","27.16","good","84.4","51.9","43.6","None","None","_photo-masters/Restaurants & Foods/DSC02485.jpg"
"DSC02486.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4672","7008","32.74","strong","113.6","51.4","208.5","None","None","_photo-masters/Restaurants & Foods/DSC02486.jpg"
"DSC02487.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","118.0","48.1","212.1","None","None","_photo-masters/Restaurants & Foods/DSC02487.jpg"
"DSC02488.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","125.1","53.6","228.8","None","None","_photo-masters/Restaurants & Foods/DSC02488.jpg"
"DSC02489.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","121.0","49.6","195.5","None","None","_photo-masters/Restaurants & Foods/DSC02489.jpg"
"DSC02490.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","129.2","51.4","281.0","None","None","_photo-masters/Restaurants & Foods/DSC02490.jpg"
"DSC02491.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","120.8","49.6","312.2","None","None","_photo-masters/Restaurants & Foods/DSC02491.jpg"
"DSC02492.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","116.0","49.5","231.7","None","None","_photo-masters/Restaurants & Foods/DSC02492.jpg"
"DSC02493.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4672","7008","32.74","strong","136.8","43.6","239.8","None","None","_photo-masters/Restaurants & Foods/DSC02493.jpg"
"DSC02494.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","131.1","51.5","151.9","None","None","_photo-masters/Restaurants & Foods/DSC02494.jpg"
"DSC02495.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","113.9","48.8","303.9","None","None","_photo-masters/Restaurants & Foods/DSC02495.jpg"
"DSC02496.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","114.3","48.5","290.3","None","None","_photo-masters/Restaurants & Foods/DSC02496.jpg"
"DSC02497.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","111.9","51.2","193.9","None","None","_photo-masters/Restaurants & Foods/DSC02497.jpg"
"DSC02498.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","114.1","46.7","185.6","None","None","_photo-masters/Restaurants & Foods/DSC02498.jpg"
"DSC02499.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","115.1","44.8","124.7","None","None","_photo-masters/Restaurants & Foods/DSC02499.jpg"
"DSC02500.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","117.7","47.0","282.5","None","None","_photo-masters/Restaurants & Foods/DSC02500.jpg"
"DSC02501.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","113.0","51.9","216.0","None","None","_photo-masters/Restaurants & Foods/DSC02501.jpg"
"DSC02502.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","115.7","47.0","245.8","None","None","_photo-masters/Restaurants & Foods/DSC02502.jpg"
"DSC02503.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","144.8","52.3","71.3","None","None","_photo-masters/Restaurants & Foods/DSC02503.jpg"
"DSC02504.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","landscape","7008","4672","32.74","strong","125.6","48.2","82.8","None","None","_photo-masters/Restaurants & Foods/DSC02504.jpg"
"DSC02505.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","124.2","49.0","83.9","None","None","_photo-masters/Restaurants & Foods/DSC02505.jpg"
"DSC02506.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","146.6","55.3","73.5","None","None","_photo-masters/Restaurants & Foods/DSC02506.jpg"
"DSC02507.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","119.2","50.2","90.9","None","None","_photo-masters/Restaurants & Foods/DSC02507.jpg"
"DSC02508.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","119.6","48.5","84.7","None","None","_photo-masters/Restaurants & Foods/DSC02508.jpg"
"DSC02509.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","119.1","47.9","84.3","None","None","_photo-masters/Restaurants & Foods/DSC02509.jpg"
"DSC02510.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","132.8","50.2","66.5","None","None","_photo-masters/Restaurants & Foods/DSC02510.jpg"
"DSC02511.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","129.8","47.7","66.9","None","None","_photo-masters/Restaurants & Foods/DSC02511.jpg"
"DSC02513.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","124.3","45.2","53.3","None","None","_photo-masters/Restaurants & Foods/DSC02513.jpg"
"DSC02514.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","127.0","46.6","80.6","None","None","_photo-masters/Restaurants & Foods/DSC02514.jpg"
"DSC02515.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","126.7","46.5","79.9","None","None","_photo-masters/Restaurants & Foods/DSC02515.jpg"
"DSC02516.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","139.5","44.3","63.0","None","None","_photo-masters/Restaurants & Foods/DSC02516.jpg"
"DSC02517.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","135.1","49.0","63.9","None","None","_photo-masters/Restaurants & Foods/DSC02517.jpg"
"DSC02518.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","67.1","48.8","158.3","None","DSC02519.jpg (d=6)","_photo-masters/Restaurants & Foods/DSC02518.jpg"
"DSC02519.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","65.6","48.1","159.8","None","None","_photo-masters/Restaurants & Foods/DSC02519.jpg"
"DSC02520.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","148.0","57.4","140.6","None","None","_photo-masters/Restaurants & Foods/DSC02520.jpg"
"DSC02521.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","59.5","45.1","41.7","None","None","_photo-masters/Restaurants & Foods/DSC02521.jpg"
"DSC02522.jpg","Restaurants & Foods","food","Portfolio: Fire and craft","Selected","portrait","4672","7008","32.74","good","48.4","38.3","35.0","None","None","_photo-masters/Restaurants & Foods/DSC02522.jpg"
"DSC02523.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","good","46.6","34.9","34.3","None","None","_photo-masters/Restaurants & Foods/DSC02523.jpg"
"DSC02524.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","62.6","46.6","77.9","None","None","_photo-masters/Restaurants & Foods/DSC02524.jpg"
"DSC02525.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","63.6","48.0","92.5","None","DSC02526.jpg (d=11)","_photo-masters/Restaurants & Foods/DSC02525.jpg"
"DSC02526.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","63.4","48.0","91.3","None","None","_photo-masters/Restaurants & Foods/DSC02526.jpg"
"DSC02527.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","56.7","43.4","114.4","None","None","_photo-masters/Restaurants & Foods/DSC02527.jpg"
"DSC02528.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","strong","57.7","44.4","114.2","None","None","_photo-masters/Restaurants & Foods/DSC02528.jpg"
"DSC02529.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","strong","130.9","69.7","85.5","None","None","_photo-masters/Restaurants & Foods/DSC02529.jpg"
"DSC02530.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","landscape","7008","4672","32.74","good","84.2","61.5","51.0","None","None","_photo-masters/Restaurants & Foods/DSC02530.jpg"
"DSC02533.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","review","21.3","20.5","45.8","None","None","_photo-masters/Restaurants & Foods/DSC02533.jpg"
"DSC02534.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4672","7008","32.74","review","22.0","22.9","22.8","None","None","_photo-masters/Restaurants & Foods/DSC02534.jpg"
"DSC02536.jpg","Restaurants & Foods","food","None","Excluded: redundant burst, repeated dish, or weaker variation","portrait","4271","6406","27.36","strong","72.6","66.5","153.8","None","None","_photo-masters/Restaurants & Foods/DSC02536.jpg"
"0F2A6874.jpg","Weddings","weddings","Portfolio: Wedding gestures","Selected","portrait","4000","6000","24.0","good","193.2","39.1","38.9","None","None","_photo-masters/Weddings/0F2A6874.jpg"
"0F2A6875.jpg","Weddings","weddings","Portfolio: Wedding gestures","Selected","portrait","2863","4295","12.3","good","189.4","34.3","32.2","None","None","_photo-masters/Weddings/0F2A6875.jpg"
"Photographe_mariage_fes.jpg","Weddings","weddings","Portfolio: Wedding gestures","Selected","portrait","4000","6000","24.0","good","199.8","43.8","47.2","None","None","_photo-masters/Weddings/Photographe_mariage_fes.jpg"
